proportion_imaged,n_studies,yield_model,yield_unprioritised,ppv
0.2757,12649,0.46743,0.27571,0.80038
0.2777,12740,0.47015,0.27769,0.79929
0.2797,12831,0.47311,0.27968,0.79861
0.2817,12922,0.47578,0.28166,0.79748
0.2836,13013,0.47846,0.28364,0.79636
0.2856,13104,0.48114,0.28563,0.79525
0.2876,13195,0.48409,0.28761,0.79462
0.2896,13286,0.48663,0.28959,0.79332
0.2916,13377,0.48922,0.29158,0.79211
0.2936,13468,0.49194,0.29356,0.79113
0.2955,13559,0.49444,0.29554,0.78981
0.2975,13650,0.49670,0.29753,0.78813
0.2995,13741,0.49970,0.29951,0.78764
0.3015,13832,0.50247,0.30150,0.78680
0.3035,13923,0.50515,0.30348,0.78582
0.3055,14014,0.50759,0.30546,0.78450
0.3074,14105,0.50990,0.30745,0.78298
0.3094,14196,0.51314,0.30943,0.78290
0.3114,14287,0.51577,0.31141,0.78190
0.3134,14378,0.51784,0.31340,0.78008
0.3154,14469,0.52048,0.31538,0.77911
0.3174,14560,0.52274,0.31736,0.77761
0.3193,14651,0.52556,0.31935,0.77694
0.3213,14742,0.52800,0.32133,0.77574
0.3233,14833,0.53040,0.32331,0.77449
0.3253,14924,0.53267,0.32530,0.77305
0.3273,15015,0.53534,0.32728,0.77223
0.3293,15106,0.53807,0.32926,0.77148
0.3312,15197,0.54056,0.33125,0.77042
0.3332,15288,0.54352,0.33323,0.77002
0.3352,15379,0.54610,0.33522,0.76910
0.3372,15470,0.54873,0.33720,0.76826
0.3392,15561,0.55155,0.33918,0.76769
0.3412,15652,0.55390,0.34117,0.76648
0.3431,15743,0.55612,0.34315,0.76510
0.3451,15834,0.55884,0.34513,0.76443
0.3471,15925,0.56111,0.34712,0.76314
0.3491,16016,0.56351,0.34910,0.76205
0.3511,16107,0.56591,0.35108,0.76097
0.3531,16198,0.56835,0.35307,0.75997
0.3551,16289,0.57080,0.35505,0.75898
0.3570,16380,0.57283,0.35703,0.75745
0.3590,16471,0.57537,0.35902,0.75660
0.3610,16562,0.57773,0.36100,0.75552
0.3630,16653,0.58045,0.36298,0.75494
0.3650,16744,0.58248,0.36497,0.75346
0.3670,16835,0.58488,0.36695,0.75248
0.3689,16926,0.58701,0.36894,0.75115
0.3709,17017,0.58909,0.37092,0.74978
0.3729,17108,0.59167,0.37290,0.74906
0.3749,17199,0.59393,0.37489,0.74795
0.3769,17290,0.59587,0.37687,0.74644
0.3789,17381,0.59818,0.37885,0.74541
0.3808,17472,0.60049,0.38084,0.74439
0.3828,17563,0.60275,0.38282,0.74332
0.3848,17654,0.60524,0.38480,0.74255
0.3868,17745,0.60746,0.38679,0.74145
0.3888,17836,0.60954,0.38877,0.74019
0.3908,17927,0.61203,0.39075,0.73944
0.3927,18018,0.61466,0.39274,0.73887
0.3947,18109,0.61665,0.39472,0.73753
0.3967,18200,0.61933,0.39670,0.73703
0.3987,18291,0.62173,0.39869,0.73621
0.4007,18382,0.62404,0.40067,0.73528
0.4027,18473,0.62607,0.40265,0.73404
0.4046,18564,0.62824,0.40464,0.73298
0.4066,18655,0.63050,0.40662,0.73203
0.4086,18746,0.63281,0.40861,0.73114
0.4106,18837,0.63502,0.41059,0.73016
0.4126,18928,0.63719,0.41257,0.72913
0.4146,19019,0.63900,0.41456,0.72769
0.4165,19110,0.64093,0.41654,0.72643
0.4185,19201,0.64334,0.41852,0.72569
0.4205,19292,0.64541,0.42051,0.72460
0.4225,19383,0.64781,0.42249,0.72388
0.4245,19474,0.65026,0.42447,0.72322
0.4265,19565,0.65271,0.42646,0.72257
0.4284,19656,0.65497,0.42844,0.72171
0.4304,19747,0.65700,0.43042,0.72062
0.4324,19838,0.65913,0.43241,0.71963
0.4344,19929,0.66125,0.43439,0.71865
0.4364,20020,0.66333,0.43637,0.71763
0.4384,20111,0.66540,0.43836,0.71662
0.4403,20202,0.66762,0.44034,0.71577
0.4423,20293,0.66965,0.44233,0.71473
0.4443,20384,0.67173,0.44431,0.71375
0.4463,20475,0.67344,0.44629,0.71238
0.4483,20566,0.67538,0.44828,0.71127
0.4503,20657,0.67759,0.45026,0.71046
0.4522,20748,0.67999,0.45224,0.70985
0.4542,20839,0.68170,0.45423,0.70853
0.4562,20930,0.68410,0.45621,0.70793
0.4582,21021,0.68641,0.45819,0.70725
0.4602,21112,0.68849,0.46018,0.70633
0.4622,21203,0.69066,0.46216,0.70551
0.4641,21294,0.69306,0.46414,0.70494
0.4661,21385,0.69486,0.46613,0.70376
0.4681,21476,0.69675,0.46811,0.70269
0.4701,21567,0.69897,0.47009,0.70195
0.4721,21658,0.70109,0.47208,0.70113
0.4741,21749,0.70299,0.47406,0.70008
0.4760,21840,0.70497,0.47605,0.69913
0.4780,21931,0.70728,0.47803,0.69851
0.4800,22022,0.70940,0.48001,0.69771
0.4820,22113,0.71171,0.48200,0.69710
0.4840,22204,0.71324,0.48398,0.69573
0.4860,22295,0.71545,0.48596,0.69504
0.4879,22386,0.71730,0.48795,0.69401
0.4899,22477,0.71896,0.48993,0.69280
0.4919,22568,0.72099,0.49191,0.69195
0.4939,22659,0.72293,0.49390,0.69103
0.4959,22750,0.72533,0.49588,0.69055
0.4979,22841,0.72741,0.49786,0.68977
0.4998,22932,0.72954,0.49985,0.68904
0.5018,23023,0.73171,0.50183,0.68836
0.5038,23114,0.73378,0.50381,0.68759
0.5058,23205,0.73586,0.50580,0.68683
0.5078,23296,0.73775,0.50778,0.68591
0.5098,23387,0.73983,0.50977,0.68517
0.5117,23478,0.74154,0.51175,0.68409
0.5137,23569,0.74334,0.51373,0.68310
0.5157,23660,0.74514,0.51572,0.68212
0.5177,23751,0.74680,0.51770,0.68102
0.5197,23842,0.74874,0.51968,0.68019
0.5217,23933,0.75031,0.52167,0.67902
0.5236,24024,0.75239,0.52365,0.67832
0.5256,24115,0.75437,0.52563,0.67755
0.5276,24206,0.75631,0.52762,0.67673
0.5296,24297,0.75807,0.52960,0.67576
0.5316,24388,0.75987,0.53158,0.67484
0.5336,24479,0.76158,0.53357,0.67384
0.5356,24570,0.76301,0.53555,0.67261
0.5375,24661,0.76499,0.53753,0.67187
0.5395,24752,0.76656,0.53952,0.67077
0.5415,24843,0.76846,0.54150,0.66997
0.5435,24934,0.77021,0.54348,0.66905
0.5455,25025,0.77155,0.54547,0.66777
0.5475,25116,0.77284,0.54745,0.66647
0.5494,25207,0.77474,0.54944,0.66569
0.5514,25298,0.77626,0.55142,0.66460
0.5534,25389,0.77774,0.55340,0.66348
0.5554,25480,0.77958,0.55539,0.66268
0.5574,25571,0.78138,0.55737,0.66184
0.5594,25662,0.78291,0.55935,0.66078
0.5613,25753,0.78434,0.56134,0.65965
0.5633,25844,0.78619,0.56332,0.65888
0.5653,25935,0.78776,0.56530,0.65788
0.5673,26026,0.78942,0.56729,0.65696
0.5693,26117,0.79103,0.56927,0.65601
0.5713,26208,0.79247,0.57125,0.65491
0.5732,26299,0.79408,0.57324,0.65398
0.5752,26390,0.79588,0.57522,0.65320
0.5772,26481,0.79764,0.57720,0.65239
0.5792,26572,0.79911,0.57919,0.65136
0.5812,26663,0.80082,0.58117,0.65053
0.5832,26754,0.80244,0.58316,0.64962
0.5851,26845,0.80424,0.58514,0.64887
0.5871,26936,0.80595,0.58712,0.64805
0.5891,27027,0.80775,0.58911,0.64732
0.5911,27118,0.80969,0.59109,0.64669
0.5931,27209,0.81107,0.59307,0.64563
0.5951,27300,0.81241,0.59506,0.64454
0.5970,27391,0.81393,0.59704,0.64361
0.5990,27482,0.81546,0.59902,0.64268
0.6010,27573,0.81657,0.60101,0.64142
0.6030,27664,0.81827,0.60299,0.64065
0.6050,27755,0.82003,0.60497,0.63992
0.6070,27846,0.82137,0.60696,0.63887
0.6089,27937,0.82363,0.60894,0.63854
0.6109,28028,0.82548,0.61092,0.63790
0.6129,28119,0.82668,0.61291,0.63676
0.6149,28210,0.82802,0.61489,0.63573
0.6169,28301,0.82959,0.61688,0.63489
0.6189,28392,0.83102,0.61886,0.63395
0.6208,28483,0.83231,0.62084,0.63290
0.6228,28574,0.83369,0.62283,0.63194
0.6248,28665,0.83517,0.62481,0.63105
0.6268,28756,0.83642,0.62679,0.62999
0.6288,28847,0.83813,0.62878,0.62929
0.6308,28938,0.83937,0.63076,0.62824
0.6327,29029,0.84085,0.63274,0.62737
0.6347,29120,0.84247,0.63473,0.62661
0.6367,29211,0.84348,0.63671,0.62542
0.6387,29302,0.84473,0.63869,0.62439
0.6407,29393,0.84588,0.64068,0.62331
0.6427,29484,0.84718,0.64266,0.62234
0.6446,29575,0.84833,0.64464,0.62127
0.6466,29666,0.84981,0.64663,0.62044
0.6486,29757,0.85156,0.64861,0.61982
0.6506,29848,0.85322,0.65060,0.61914
0.6526,29939,0.85475,0.65258,0.61836
0.6546,30030,0.85600,0.65456,0.61738
0.6565,30121,0.85724,0.65655,0.61641
0.6585,30212,0.85844,0.65853,0.61542
0.6605,30303,0.85918,0.66051,0.61410
0.6625,30394,0.86066,0.66250,0.61331
0.6645,30485,0.86237,0.66448,0.61269
0.6665,30576,0.86444,0.66646,0.61234
0.6684,30667,0.86597,0.66845,0.61160
0.6704,30758,0.86717,0.67043,0.61064
0.6724,30849,0.86841,0.67241,0.60971
0.6744,30940,0.86994,0.67440,0.60899
0.6764,31031,0.87105,0.67638,0.60797
0.6784,31122,0.87234,0.67836,0.60709
0.6803,31213,0.87396,0.68035,0.60645
0.6823,31304,0.87520,0.68233,0.60555
0.6843,31395,0.87626,0.68431,0.60452
0.6863,31486,0.87746,0.68630,0.60360
0.6883,31577,0.87866,0.68828,0.60269
